Fazenda;ID_Animal;Sexo;Campo1;Campo2;Campo3;Campo4
IMPERIAL II;001;F;;;;
IMPERIAL II;002;F;;;;
IMPERIAL II;003;F;;;;
IMPERIAL II;007;F;;;;
IMPERIAL II;008;F;;;;
IMPERIAL II;014;F;;;;
IMPERIAL II;016;F;;;;
MARIA DE JESUS;017;F;;;;
BARRACÃO;018;F;;;;
BOA ESPERANÇA;019;F;;;;
IMPERIAL II;021;F;;;;
IMPERIAL II;023;F;;;;
BOA ESPERANÇA III;025;F;;;;
BOA ESPERANÇA;026;F;;;;
BOA ESPERANÇA;030;F;;;;
IMPERIAL II;032;F;;;;
BOA ESPERANÇA;038;F;;;;
PROSPERIDADE II;042;F;;;;
BOA ESPERANÇA;043;F;;;;
BOA ESPERANÇA;044;F;;;;
IMPERIAL II;045;F;;;;
BOA ESPERANÇA;048;F;;;;
IMPERIAL II;056;F;;;;
BOA ESPERANÇA;063;F;;;;
PROSPERIDADE II;064;F;;;;
IMPERIAL II;065;F;;;;
IMPERIAL II;066;F;;;;
PROSPERIDADE II;071;F;;;;
IMPERIAL II;072;F;;;;
BOA ESPERANÇA;075;F;;;;
IMPERIAL II;078;F;;;;
IMPERIAL II;081;F;;;;
IMPERIAL II;082;F;;;;
IMPERIAL II;085;F;;;;
BOA ESPERANÇA;090;F;;;;
IMPERIAL II;098;F;;;;
BOA ESPERANÇA;100;F;;;;
IMPERIAL II;102;F;;;;
IMPERIAL II;103;F;;;;
IMPERIAL II;106;F;;;;
IMPERIAL II;109;F;;;;
BOA ESPERANÇA;118;F;;;;
IMPERIAL II;125;F;;;;
BOA ESPERANÇA;128;F;;;;
MARIA DE JESUS;131;F;;;;
IMPERIAL II;135;F;;;;
IMPERIAL II;138;F;;;;
IMPERIAL II;139;F;;;;
IMPERIAL II;141;F;;;;
IMPERIAL II;143;F;;;;
BOA ESPERANÇA;144;F;;;;
BARRACÃO;145;F;;;;
IMPERIAL II;146;F;;;;
IMPERIAL II;148;F;;;;
BOA ESPERANÇA;0151;F;;;;
IMPERIAL II;151;F;;;;
IMPERIAL II;153;F;;;;
IMPERIAL II;155;F;;;;
IMPERIAL II;156;F;;;;
BOA ESPERANÇA;158;F;;;;
IMPERIAL II;160;F;;;;
IMPERIAL II;161;F;;;;
PROSPERIDADE II;163;F;;;;
BOA ESPERANÇA III;164;F;;;;
BOA ESPERANÇA;172;F;;;;
BARRACÃO;173;F;;;;
