DataTransferencia;CodAnimal;FazendaOrigem;FazendaDestino;LoteOrigem;LoteDestino;PastoOrigem;PastoDestino;Usuário;DataHoraRegistro
26/03/2026;002;BARRACÃO;BOA ESPERANÇA;Geral;Geral2;Geral;Geral;Iomar;26/03/2026 14:21
26/03/2026;017;BARRACÃO;BOA ESPERANÇA;Geral;Geral2;Geral;Geral;Iomar;26/03/2026 14:21
26/03/2026;002;BOA ESPERANÇA;BOA ESPERANÇA;Geral2;Geral;Geral;Geral;Iomar;26/03/2026 14:58
26/03/2026;1042;BOA ESPERANÇA III;BOA ESPERANÇA;Geral;Geral;Geral;Geral;Iomar;26/03/2026 15:07
26/03/2026;1042;BOA ESPERANÇA;BOA ESPERANÇA;Geral;Geral2;Geral;Geral;Iomar;26/03/2026 15:07
26/03/2026;002;BOA ESPERANÇA;BARRACÃO;Geral;Geral;Geral;Geral;Iomar;26/03/2026 15:12
30/03/2026;002;BARRACÃO;BOA ESPERANÇA;Geral;Geral;Geral;Geral;Iomar;26/03/2026 15:13
26/03/2026;1047;BARRACÃO;IMPERIAL I;Geral;Geral;Geral;Geral;Iomar;26/03/2026 15:25
26/03/2026;1052;BARRACÃO;IMPERIAL I;Geral;Geral;Geral;Geral;Iomar;26/03/2026 15:25
26/03/2026;1086;BARRACÃO;IMPERIAL I;Geral;Geral;Geral;Geral;Iomar;26/03/2026 15:26
26/03/2026;1088;BARRACÃO;IMPERIAL I;Geral;Geral;Geral;Geral;Iomar;26/03/2026 15:26
27/03/2026;BASA 2709;SANTA INES (LEITE);IMPERIAL II;Geral;Geral;Geral;Geral;Iomar;27/03/2026 07:58
27/03/2026;BASA 2771;SANTA INES (LEITE);IMPERIAL II;Geral;Geral;Geral;Geral;Iomar;27/03/2026 07:59
27/03/2026;LFFG 2;SANTA INES (LEITE);IMPERIAL II;Geral;Geral;Geral;Geral;Iomar;27/03/2026 08:01
27/03/2026;LFFJ 99;PROSPERIDADE III;SANTA INES (LEITE);Geral;Geral;Geral;Geral;Iomar;27/03/2026 08:03
