usuario;dt_transferencia;cod_animal;fazenda_origem;fazenda_destino;lote_origem;lote_destino;pasto_origem;pasto_destino;dt_registro;inconsistencia
"Iomar";"10/04/2026";"E1276";"Imperial I";"Maria de Jesus";;"Transferência";;"Transferência";"10/04/2026 00:00:00";"SIM"
"Iomar";"10/04/2026";"E1289";"Imperial I";"Maria de Jesus";;"Transferência";;"Transferência";"10/04/2026 00:00:00";"SIM"
"Iomar";"09/04/2026";"E1298";"Barracão";"Boa Esperanca III";;"Transferência";;"Transferência";"09/04/2026 00:00:00";"SIM"
"Iomar";"09/04/2026";"E1297";"Barracão";"Boa Esperanca III";;"Transferência";;"Transferência";"09/04/2026 00:00:00";"SIM"
"Iomar";"09/04/2026";"E1295";"Barracão";"Boa Esperanca III";;"Transferência";;"Transferência";"09/04/2026 00:00:00";"SIM"
"Iomar";"09/04/2026";"E1296";"";"Boa Esperanca III";;"Transferência";;"Transferência";"09/04/2026 00:00:00";"SIM"
"Iomar";"15/04/2026";"E1297";"Boa Esperanca III";"Imperial I";"Transferência";"Transferência";"Transferência";"Transferência";"09/04/2026 00:00:00";"NAO"
"Iomar";"15/04/2026";"E1298";"Boa Esperanca III";"Imperial I";"Transferência";"Transferência";"Transferência";"Transferência";"09/04/2026 00:00:00";"NAO"
"Iomar";"09/04/2026";"E1296";"Boa Esperanca III";"Imperial I";"Transferência";"Transferência";"Transferência";"Transferência";"09/04/2026 00:00:00";"NAO"
"Iomar";"09/04/2026";"E1295";"Boa Esperanca III";"Imperial I";"Transferência";"Transferência";"Transferência";"Transferência";"09/04/2026 00:00:00";"NAO"
"Iomar";"09/04/2026";"E1298";"Imperial I";"Imperial I";"Transferência";"Geral";"Transferência";"Transferência";"09/04/2026 00:00:00";"NAO"
"Iomar";"09/04/2026";"E1298";"Boa Esperanca III";"Fazenda Coroatá";"Geral";"Transferência";"Transferência";"Transferência";"09/04/2026 00:00:00";"SIM"
"Iomar";"09/04/2026";"E1297";"Boa Esperanca III";"Fazenda Coroatá";"Transferência";"Transferência";"Transferência";"Transferência";"09/04/2026 00:00:00";"SIM"
"Iomar";"09/04/2026";"E1296";"Boa Esperanca III";"Fazenda Coroatá";"Transferência";"Transferência";"Transferência";"Transferência";"09/04/2026 00:00:00";"SIM"
"Iomar";"09/04/2026";"E1295";"Boa Esperanca III";"Fazenda Coroatá";"Transferência";"Transferência";"Transferência";"Transferência";"09/04/2026 00:00:00";"SIM"
"Iomar";"09/04/2026";"E1292";"Boa Esperanca III";"Fazenda Coroatá";;"Transferência";;"Transferência";"09/04/2026 00:00:00";"SIM"
"Iomar";"09/04/2026";"E11";"Fazenda Coroatá";"Properidade I";;"Transferência";;"Transferência";"09/04/2026 00:00:00";"SIM"
"Administrador";"05/04/2026";"I10";"Barracão";"Boa Esperança";"Transferência";"Transferência";"Transferência";"Transferência";"05/04/2026 00:00:00";"SIM"
"Iomar";"27/03/2026";"BASA 2709";"SANTA INES (LEITE)";"IMPERIAL II";"Geral";"Geral";"Geral";"Geral";"27/03/2026 00:00:00";"NAO"
"Iomar";"27/03/2026";"BASA 2771";"SANTA INES (LEITE)";"IMPERIAL II";"Geral";"Geral";"Geral";"Geral";"27/03/2026 00:00:00";"NAO"
"Iomar";"27/03/2026";"LFFG 2";"SANTA INES (LEITE)";"IMPERIAL II";"Geral";"Geral";"Geral";"Geral";"27/03/2026 00:00:00";"NAO"
"Iomar";"27/03/2026";"LFFJ 99";"PROSPERIDADE III";"SANTA INES (LEITE)";"Geral";"Geral";"Geral";"Geral";"27/03/2026 00:00:00";"NAO"
"Iomar";"26/03/2026";"002";"BARRACÃO";"BOA ESPERANÇA";"Geral";"Geral2";"Geral";"Geral";"26/03/2026 00:00:00";"NAO"
"Iomar";"26/03/2026";"017";"BARRACÃO";"BOA ESPERANÇA";"Geral";"Geral2";"Geral";"Geral";"26/03/2026 00:00:00";"NAO"
"Iomar";"26/03/2026";"002";"BOA ESPERANÇA";"BOA ESPERANÇA";"Geral2";"Geral";"Geral";"Geral";"26/03/2026 00:00:00";"NAO"
"Iomar";"26/03/2026";"1042";"BOA ESPERANÇA III";"BOA ESPERANÇA";"Geral";"Geral";"Geral";"Geral";"26/03/2026 00:00:00";"NAO"
"Iomar";"26/03/2026";"1042";"BOA ESPERANÇA";"BOA ESPERANÇA";"Geral";"Geral2";"Geral";"Geral";"26/03/2026 00:00:00";"NAO"
"Iomar";"26/03/2026";"002";"BOA ESPERANÇA";"BARRACÃO";"Geral";"Geral";"Geral";"Geral";"26/03/2026 00:00:00";"NAO"
"Iomar";"30/03/2026";"002";"BARRACÃO";"BOA ESPERANÇA";"Geral";"Geral";"Geral";"Geral";"26/03/2026 00:00:00";"NAO"
"Iomar";"26/03/2026";"1047";"BARRACÃO";"IMPERIAL I";"Geral";"Geral";"Geral";"Geral";"26/03/2026 00:00:00";"NAO"
"Iomar";"26/03/2026";"1052";"BARRACÃO";"IMPERIAL I";"Geral";"Geral";"Geral";"Geral";"26/03/2026 00:00:00";"NAO"
"Iomar";"26/03/2026";"1086";"BARRACÃO";"IMPERIAL I";"Geral";"Geral";"Geral";"Geral";"26/03/2026 00:00:00";"NAO"
"Iomar";"26/03/2026";"1088";"BARRACÃO";"IMPERIAL I";"Geral";"Geral";"Geral";"Geral";"26/03/2026 00:00:00";"NAO"
